Theater,URL
Nitehaw Cinema (Prospect Park),https://nitehawkcinema.com/prospectpark/
Nitehawk Cinema (Williamsburg),https://nitehawkcinema.com/williamsburg/
BAM,https://www.bam.org/
HK-Cinemas,https://www.hk-cinemas.com/
Film Noir Cinema,https://www.filmnoircinema.com/program
The Metrograph,https://metrograph.com/
Angelika Film Center,https://angelikafilmcenter.com/nyc
NY Film Forum,https://filmforum.org/
Film at Lincoln Center,https://www.filmlinc.org/
IFC Center,https://www.ifccenter.com/
Paris Theater NYC,https://www.paristheaternyc.com/ 
Low Cinema,https://lowcinema.com
